# start - Mon May 28 01:20:03 2018
# beta: 0.016667
# n_ensamble / n_max: 1000.000000 / 40000.000000
# initial energy: 5845394.428599
#
# energy acceptance step
 5.845e+06 0.51194539 2.9e-10
 5.845e+06 0.51360544 2.9e-10
 5.845e+06 0.51525424 2.9e-10
 5.845e+06 0.51689189 2.9e-10
 5.845e+06 0.51851852 2.9e-10
 5.845e+06 0.52013423 2.9e-10
 5.845e+06 0.52173913 2.9e-10
 5.845e+06 0.52333333 2.9e-10
 5.845e+06 0.52491694 2.9e-10
 5.845e+06 0.52649007 2.9e-10
 5.845e+06 0.52805281 2.9e-10
 5.845e+06 0.52960526 2.9e-10
 5.845e+06 0.53114754 2.9e-10
 5.845e+06 0.53267974 2.9e-10
 5.845e+06 0.53420195 2.9e-10
 5.845e+06 0.53571429 2.9e-10
 5.845e+06 0.53721683 2.9e-10
 5.845e+06 0.53870968 2.9e-10
 5.845e+06 0.54019293 2.9e-10
 5.845e+06 0.54166667 2.9e-10
 5.845e+06 0.54313099 2.9e-10
 5.845e+06 0.54458599 2.9e-10
 5.845e+06 0.54603175 2.9e-10
 5.845e+06 0.54746835 2.9e-10
 5.845e+06 0.54889590 2.9e-10
 5.845e+06 0.55031447 2.9e-10
 5.845e+06 0.55172414 2.9e-10
 5.845e+06 0.55312500 2.9e-10
 5.845e+06 0.55451713 2.9e-10
 5.845e+06 0.55590062 2.9e-10
 5.845e+06 0.55727554 2.9e-10
 5.845e+06 0.55864198 2.9e-10
 5.845e+06 0.56000000 2.9e-10
 5.845e+06 0.56134969 2.9e-10
 5.845e+06 0.56269113 2.9e-10
 5.845e+06 0.56402439 2.9e-10
 5.845e+06 0.56534954 2.9e-10
 5.845e+06 0.56666667 2.9e-10
 5.845e+06 0.56797583 2.9e-10
 5.845e+06 0.56927711 2.9e-10
 5.845e+06 0.57057057 2.9e-10
 5.845e+06 0.57185629 2.9e-10
 5.845e+06 0.57313433 2.9e-10
 5.845e+06 0.57440476 2.9e-10
 5.845e+06 0.57566766 2.9e-10
 5.845e+06 0.57692308 2.9e-10
 5.845e+06 0.57817109 2.9e-10
 5.845e+06 0.57941176 2.9e-10
 5.845e+06 0.58064516 2.9e-10
 5.845e+06 0.58187135 2.9e-10
 5.845e+06 0.58309038 2.9e-10
 5.845e+06 0.58430233 2.9e-10
 5.845e+06 0.58550725 2.9e-10
 5.845e+06 0.58670520 2.9e-10
 5.845e+06 0.58789625 2.9e-10
 5.845e+06 0.58908046 2.9e-10
 5.845e+06 0.59025788 2.9e-10
 5.845e+06 0.59142857 2.9e-10
 5.845e+06 0.59259259 2.9e-10
 5.845e+06 0.59375000 2.9e-10
 5.845e+06 0.59490085 2.9e-10
 5.845e+06 0.59604520 2.9e-10
 5.845e+06 0.59718310 2.9e-10
 5.845e+06 0.59831461 2.9e-10
 5.845e+06 0.59943978 2.9e-10
 5.845e+06 0.60055866 2.9e-10
 5.845e+06 0.60167131 2.9e-10
 5.845e+06 0.60277778 2.9e-10
 5.845e+06 0.60387812 2.9e-10
 5.845e+06 0.60497238 2.9e-10
 5.845e+06 0.60606061 2.9e-10
 5.845e+06 0.60714286 2.9e-10
 5.845e+06 0.60821918 2.9e-10
 5.845e+06 0.60928962 2.9e-10
 5.845e+06 0.61035422 2.9e-10
 5.845e+06 0.61141304 2.9e-10
 5.845e+06 0.61246612 2.9e-10
 5.845e+06 0.61351351 2.9e-10
 5.845e+06 0.61455526 2.9e-10
 5.845e+06 0.61559140 2.9e-10
 5.845e+06 0.61662198 2.9e-10
 5.845e+06 0.61764706 2.9e-10
 5.845e+06 0.61866667 2.9e-10
 5.845e+06 0.61968085 2.9e-10
 5.845e+06 0.62068966 2.9e-10
 5.845e+06 0.62169312 2.9e-10
 5.845e+06 0.62269129 2.9e-10
 5.845e+06 0.62368421 2.9e-10
 5.845e+06 0.62467192 2.9e-10
 5.845e+06 0.62565445 2.9e-10
 5.845e+06 0.62663185 2.9e-10
 5.845e+06 0.62760417 2.9e-10
 5.845e+06 0.62857143 2.9e-10
 5.845e+06 0.62953368 2.9e-10
 5.845e+06 0.63049096 2.9e-10
 5.845e+06 0.63144330 2.9e-10
 5.845e+06 0.63239075 2.9e-10
 5.845e+06 0.63333333 2.9e-10
 5.845e+06 0.63427110 2.9e-10
 5.845e+06 0.63520408 2.9e-10
