# start - Sun May 27 21:49:34 2018
# beta: 0.016393
# n_ensamble / n_max: 8000.000000 / 40000.000000
# initial energy: 10580.532618
#
# energy acceptance step
      8734 0.52093023 0.49
      8793 0.52204176 0.49
      8851 0.52314815 0.49
      8814 0.51945080 0.49
      8792 0.51936219 0.49
      8767 0.52045455 0.49
      8762 0.52154195 0.49
      8753 0.52262443 0.49
      8715 0.52370203 0.49
      8756 0.52477477 0.49
      8745 0.52584270 0.49
      8758 0.52690583 0.49
      8746 0.52561247 0.49
      8773 0.52549889 0.49
      8835 0.52192982 0.49
      8902 0.52297593 0.49
      8905 0.52401747 0.49
      8903 0.52505447 0.49
      8873 0.52608696 0.49
      8800 0.52711497 0.49
      8753 0.52813853 0.49
      8720 0.52801724 0.49
      8713 0.52903226 0.49
      8682 0.53004292 0.49
      8734 0.52991453 0.49
      8793 0.53091684 0.49
      8765 0.53191489 0.49
      8770 0.53177966 0.49
      8847 0.53276956 0.49
      8874 0.53263158 0.49
      8840 0.53361345 0.49
      8845 0.53459119 0.49
      8933 0.53556485 0.49
      8925 0.53653445 0.49
      8961 0.53750000 0.49
      8930 0.53846154 0.49
      8943 0.53941909 0.49
      9007 0.53703704 0.49
      9056 0.53798768 0.49
      8993 0.53893443 0.49
      8915 0.53987730 0.49
      8883 0.54081633 0.49
      8929 0.54175153 0.49
      8960 0.54268293 0.49
      8918 0.54251012 0.49
      8885 0.54233871 0.49
      8941 0.54325956 0.49
      8926 0.54308617 0.49
      8936 0.54400000 0.49
      8955 0.54491018 0.49
      8924 0.54581673 0.49
      8859 0.54671968 0.49
      8849 0.54761905 0.49
      8879 0.54851485 0.49
      8826 0.54940711 0.49
      8809 0.55029586 0.49
      8760 0.55118110 0.5
      8771 0.55098039 0.51
      8757 0.55078125 0.51
      8738 0.54951456 0.52
      8772 0.55038760 0.52
      8743 0.55125725 0.52
      8715 0.55000000 0.53
      8801 0.54980843 0.53
      8730 0.55066922 0.53
      8803 0.55152672 0.54
      8859 0.55238095 0.54
      8875 0.54905660 0.56
      8973 0.54784240 0.56
      9009 0.54868914 0.56
      9015 0.54953271 0.56
      8994 0.55037313 0.56
      8930 0.55121043 0.56
      8916 0.55102041 0.58
      8971 0.54981550 0.58
      8977 0.55064457 0.58
      8974 0.55147059 0.59
      8914 0.55229358 0.59
      8832 0.55311355 0.6
      8739 0.55191257 0.62
      8793 0.55272727 0.62
      8828 0.54954955 0.64
      8831 0.55035971 0.64
      8879 0.55116697 0.65
      8905 0.55098390 0.66
      8848 0.55080214 0.67
      8819 0.55160142 0.67
      8943 0.55239787 0.68
      8922 0.55123675 0.7
